# 105 - Mots fréquents

|dessiner|desine|рисовать
|rompre|ʁɔ̃pʁ|ломать
|la agriculture|agʁikyltyʁ|земледелие
|le gouverneur|guvɛʁnœʁ|губернатор
|la aventure|avɑ̃tyʁ|авантюра
|armer|aʁme|вооружать
|le volet|vɔlɛ|ставень
|bâtir|bɑtiʁ|строить
|prime|pʁim|первый
|résulter|ʁezylte|проистекать из
|la occupation|ɔkypasjɔ̃|занятие
|japonais|ʒapɔnɛ, -z|японский
|emmener|ɑ̃m(ə)ne|уводить
|alimentaire|alimɑ̃tɛʁ|пищевой
|le lecteur|lɛktœʁ, -ʁis|лектор
|marin|maʁɛ̃, -in|морской
|intermédiaire|ɛ̃tɛʁmedjɛʁ|промежуточный
|le vœu|vø|обет
|dresser|dʁese|поднимать
|la conception|kɔ̃sɛpsjɔ̃|концепция
