# 106 - Mots fréquents

|afficher|afiʃe|вывешивать
|fragile|fʁaʒil|хрупкий
|la satisfaction|satisfaksjɔ̃|удовольствие
|survenir|syʁvəniʁ|появляться
|la publicité|pyblisite|публичность
|le arbre|aʁbʁ|дерево
|le univers|ynivɛʁ|вселенная
|le aéroport|aeʁɔpɔʁ|аэропорт
|sauter|sote|прыгать
|la chasse|ʃas|охота
|le collège|kɔlɛʒ|коллегия
|la garantie|gaʁɑ̃ti|гарантия
|le morceau|mɔʁso|кусок
|le salarié|salaʁje|работник на зарплате
|la discipline|disiplin|дисциплина
|la explosion|ɛksplozjɔ̃|взрыв
|la peau|po|кожа
|la commande|kɔmɑ̃d|заказ
|orienter|ɔʁjɑ̃te|ориентировать
|reproduire|ʁ(ə)pʁɔdɥiʁ|воспроизводить
