# 107 - Mots fréquents

|le paragraphe|paʁagʁaf|параграф
|radical|ʁadikal, -o|корневой
|transférer|tʁɑ̃sfeʁe|переносить
|la diffusion|difyzjɔ̃|диффузия
|spécialement|spesjalmɑ̃|специально
|croître|kʁwatʁ|расти
|tolérer|tɔleʁe|терпеть
|la copie|kɔpi|копия
|enseigner|ɑ̃seɲe|учить
|rédiger|ʁediʒe|составлять
|magnifique|maɲifik|великолепный
|initial|inisjal, -jo|начальный
|le indice|ɛ̃dis|знак
|la promotion|pʁɔmosjɔ̃|повышение по службе
|la branche|bʁɑ̃ʃ|ветвь
|la section|sɛksjɔ̃|рассечение
|la chanson|ʃɑ̃sɔ̃|песня
|pair|pɛʁ|чётный
|contraindre|kɔ̃tʁɛ̃dʁ|сдерживать
|trancher|tʁɑ̃ʃe|резать
