# 109 - Mots fréquents

|drôle|dʁol|смешной
|plat|pla, -t|плоский
|la maman|mamɑ̃|мама
|la incertitude|ɛ̃sɛʁtityd|неуверенность
|célébrer|selebʁe|праздновать
|la dignité|diɲite|достоинство
|légitime|leʒitim|законный
|la philosophie|filɔzɔfi|философия
|le verre|vɛʁ|стекло
|spécifique|spesifik|специфический
|le docteur|dɔktœʁ|доктор
|hausser|ˈose|поднимать
|la fréquence|fʁekɑ̃s|частота
|urgent|yʁʒɑ̃, -t|срочный
|le trou|tʁu|отверстие
|stratégique|stʁateʒik|стратегический
|mental|mɑ̃tal, -o|ментальный
|le éditeur|editœʁ, -ʁis|издатель
|provincial|pʁɔvɛ̃sjal, -jo|провинциальный
|casser|kɑse|ломать
