# 110 - Mots fréquents

|probable|pʁɔbabl|правдоподобный
|la signature|siɲatyʁ|подпись
|forcément|fɔʁsemɑ̃|насильно
|conformément|kɔ̃fɔʁmemɑ̃|соответственно
|croiser|kʁwaze|скрещивать
|plastique|plastik|пластический
|autonome|ɔtɔnɔm|автономный
|le héritage|eʁitaʒ|наследство
|voyager|vwajaʒe|путешествовать
|électronique|elɛktʁɔnik|электронный
|parallèle|paʁalɛl|параллельный
|répartir|ʁepaʁtiʁ|распределять
|courageux|kuʁaʒø, -øz|мужественный
|réveiller|ʁeveje|будить
|le satellite|satelit|спутник
|le ordinateur|ɔʁdinatœʁ, -ʁis|компьютер
|fondé|fɔ̃de|основанный
|blessé|blese|раненый
|municipal|mynisipal, -o|муниципальный
|le salut|saly|здоровье
