# 111 - Mots fréquents

|songer|sɔ̃ʒe|мечтать
|la enfance|ɑ̃fɑ̃s|детство
|merveilleux|mɛʁvɛjø, -øz|чудесный
|sien|sjɛ̃, sjɛn|его
|commenter|kɔmɑ̃te|комментировать
|inciter|ɛ̃site|побуждать
|la prière|pʁijɛʁ|просьба
|nécessiter|nesesite|вынуждать
|urbain|yʁbɛ̃, -ɛn|городской
|le musée|myze|музей
|la pluie|plɥi|дождь
|la précaution|pʁekosjɔ̃|предосторожность
|anticiper|ɑ̃tisipe|предвидеть
|le cheval|ʃ(ə)val, -o|лошадь
|le communiqué|kɔmynike|коммюнике
|le suicide|sɥisid|самоубийство
|la rivière|ʁivjɛʁ|река
|avertir|avɛʁtiʁ|уведомлять
|la rédaction|ʁedaksjɔ̃|редакция
|la enceinte|ɑ̃sɛ̃t|ограда
