# 119 - Mots fréquents

|fréquenter|fʁekɑ̃te|наведываться
|projeter|pʁɔʒ(ə)te|проецировать
|littéraire|liteʁɛʁ|литературный
|présider|pʁezide|председательствовать
|la fortune|fɔʁtyn|фортуна
|malheureux|maløʁø, -øz|несчастный
|numérique|nymeʁik|числовой
|combattant|kɔ̃batɑ̃, -t|сражающийся бой
|soupçonner|supsɔne|подозревать
|la merde|mɛʁd|дерьмо
|le entrepreneur|ɑ̃tʁəpʁənœʁ, -øz|предприниматель
|la exposition|ɛkspozisjɔ̃|выставка
|le marchand|maʁʃɑ̃, -d|торговец
|le cri|kʁi|крик
|féminin|feminɛ̃, -in|женский
|désert|dezɛʁ; ɛʁt|пустынный
|le vêtement|vɛtmɑ̃|одежда
|autrefois|otʁəfwa|прежде
|surmonter|syʁmɔ̃te|преодолевать
|la marchandise|maʁʃɑ̃diz|товар
