# 124 - Mots fréquents

|impressionnant|ɛ̃pʁesjɔnɑ̃, -t|впечатляющий
|le scénario|senaʁjo|сценарий
|la électricité|elɛktʁisite|электричество
|gratuit|gʁatɥi, -t|бесплатный
|révolutionnaire|ʁevɔlysjɔnɛʁ|революционный
|la jambe|ʒɑ̃b|нога , голень
|insuffisant|ɛ̃syfizɑ̃, -t|недостаточный
|le privilège|pʁivilɛʒ|привилегия
|équivalent|ekivalɑ̃, -t|эквивалентный
|regrouper|ʁ(ə)gʁupe|перегруппировать
|le invité|ɛ̃vite|приглашённый
|militant|militɑ̃, -t|воинствующий
|le participant|paʁtisipɑ̃, -t|участник
|la blessure|blesyʁ|рана
|privilégier|pʁivileʒje|предоставлять привилегии
|le midi|midi|полдень
|le disque|disk|диск
|la couche|kuʃ|постель
|dater|date|датировать
|habituer|abitɥe|приучать
