# 125 - Mots fréquents

|inévitable|inevitabl|неизбежный
|recommencer|ʁ(ə)kɔmɑ̃se|начинать (вновь)
|la race|ʁas|раса
|vivement|vivmɑ̃|живо
|la beauté|bote|красота
|la atmosphère|atmɔsfɛʁ|атмосфера
|la épaule|epol|плечо
|amoureux|amuʁø, -øz|влюблённый
|la circonscription|siʁkɔ̃skʁipsjɔ̃|ограничение
|debout|d(ə)bu|стоймя
|influencer|ɛ̃flyɑ̃se|влиять
|le recul|ʁ(ə)kyl|отступление
|mortel|mɔʁtɛl|смертный
|le flux|fly|прилив
|le horizon|ɔʁizɔ̃|горизонт
|délivrer|delivʁe|избавлять
|la subvention|sybvɑ̃sjɔ̃|пособие
|formel|fɔʁmɛl|формальный
|aggraver|agʁave|отягчать
|le lait|lɛ|молоко
