# 128 - Mots fréquents

|le parisien|paʁizjɛ̃, -jɛn|парижанин
|psychologique|psikɔlɔʒik|психологический
|réviser|ʁevize|пересматривать
|le profil|pʁɔfil|профиль
|rater|ʁate|промахнуться
|respectif|ʁɛspɛktif, -v|взаимный
|tranquille|tʁɑ̃kil|тихий
|le registre|ʁəʒistʁ|реестр
|contemporain|kɔ̃tɑ̃pɔʁɛ̃, -ɛn|современный
|exclusif|ɛksklyzif, -v|исключающий
|la performance|pɛʁfɔʁmɑ̃s|исполнение
|le angle|ɑ̃gl|угол
|le divorce|divɔʁs|развод
|la fermeture|fɛʁmətyʁ|закрытие
|affaiblir|afebliʁ|ослаблять
|constamment|kɔ̃stamɑ̃|постоянно
|la horreur|ɔʁœʁ|ужас
|envahir|ɑ̃vaiʁ|вторгаться
|pétrolier|petʁɔlje, -jɛʁ|нефтяной
|la faculté|fakylte|способность
