# 130 - Mots fréquents

|la restriction|ʁɛstʁiksjɔ̃|ограничение
|pacifique|pasifik|мирный
|la bête|bɛt|зверь
|le indicateur|ɛ̃dikatœʁ, -ʁis|указатель
|la racine|ʁasin|корень
|compenser|kɔ̃pɑ̃se|компенсировать
|maritime|maʁitim|морской
|la gravité|gʁavite|тяжесть
|pénétrer|penetʁe|проникать
|la civilisation|sivilizasjɔ̃|цивилизация
|rouler|ʁule|катить
|technologique|tɛknɔlɔʒik|технологический
|heurter|ˈœʁte|толкать
|le football|futbol|футбол
|décevant|des(ə)vɑ̃, -t|обманчивый
|la législation|leʒislasjɔ̃|законодательство
|approprier|apʁɔpʁije|приспособлять
|la tactique|taktik|тактика
|la thèse|tɛz|тезис
|acceptable|aksɛptabl|приемлемый
