# 131 - Mots fréquents

|surgir|syʁʒiʁ|показываться
|le prince|pʁɛ̃s|принц
|vidéo|video|видео
|semer|s(ə)me|сеять
|le créateur|kʁeatœʁ, -ʁis|творец
|le partenariat|paʁtənaʁja|партнёрство
|la file|fil|ряд
|le chômeur|ʃomœʁ, -øz|безработный
|correct|kɔʁɛkt|правильный
|la cuisine|kɥizin|кухня
|succéder|syksede|следовать
|le royaume|ʁwajom|королевство
|rebelle|ʁəbɛl|мятежный
|la provenance|pʁɔv(ə)nɑ̃s|происхождение
|fumer|fyme|дымить
|le dessin|desɛ̃|рисунок
|la viande|vjɑ̃d|мясо
|le paramètre|paʁamɛtʁ|параметр
|le gré|gʁe|воля
|dessous|d(ə)su|внизу
