# 132 - Mots fréquents

|le voyageur|vwajaʒœʁ, -øz|путешественник
|le réaliste|ʁealist|реалистический
|la condamnation|kɔ̃dɑnasjɔ̃|осуждение
|similaire|similɛʁ|подобный
|le employeur|ɑ̃plwajœʁ, -øz|наниматель
|le paysage|peizaʒ|пейзаж
|discret|diskʁɛ, -ɛt|сдержанный
|la longueur|lɔ̃gœʁ|длина
|lentement|lɑ̃tmɑ̃|медленно
|le miracle|miʁɑkl|чудо
|déboucher|debuʃe|откупоривать
|illégal|i(l)legal, -o|нелегальный
|la expansion|ɛkspɑ̃sjɔ̃|экспансия
|mutuel|mytɥɛl|взаимный
|sage|saʒ|мудрый
|le commandement|kɔmɑ̃dmɑ̃|командование
|correspondant|kɔʁɛspɔ̃dɑ̃, -t|соответствующий
|grimper|gʁɛ̃pe|карабкаться
|la pause|poz|пауза
|la répartition|ʁepaʁtisjɔ̃|распределение
