# 134 - Mots fréquents

|la coordination|kɔɔʁdinasjɔ̃|координация
|sportif|spɔʁtif, -v|спортивный
|rose|ʁoz|розовый
|la quête|kɛt|поиск
|le compromis|kɔ̃pʁɔmi, -z|компромисс
|le investisseur|ɛ̃vɛstisœʁ, -øz|инвестор
|présumer|pʁezyme|предполагать
|le abandon|abɑ̃dɔ̃|оставление
|identique|idɑ̃tik|идентичный
|exploser|ɛksploze|взрываться
|le mensonge|mɑ̃sɔ̃ʒ|ложь
|la défaite|defɛt|поражение
|meurtrier|mœʁtʁije, -jɛʁ|смертоносный
|rigoureux|ʁiguʁø, -øz|строгий
|mentir|mɑ̃tiʁ|лгать
|fréquent|fʁekɑ̃; ɑ̃t|частый
|le œuf|œf|яйцо
|le ambassadeur|ɑ̃basadœʁ, -ʁis|посол
|le observateur|ɔpsɛʁvatœʁ, -ʁis|наблюдатель
|revêtir|ʁ(ə)vɛtiʁ|одевать (вновь)
