# 135 - Mots fréquents

|le accessoire|akseswaʁ|аксессуар
|la acquisition|akizisjɔ̃|приобретение
|la tournée|tuʁne|турне
|la tranche|tʁɑ̃ʃ|отрез
|la plage|plaʒ|пляж
|le inspecteur|ɛ̃spɛktœʁ, -ʁis|инспектор
|la tempête|tɑ̃pɛt|буря
|le tissu|tisy|ткань
|souverain|suv(ə)ʁɛ̃, -ɛn|суверенный
|distinct|distɛ̃(kt), -ɛ̃kt|отчётливый
|la survie|syʁvi|выживание
|repousser|ʁ(ə)puse|толкать (вновь)
|la adaptation|adaptasjɔ̃|адаптация
|la plante|plɑ̃t|растение
|nuire|nɥiʁ|вредить
|la putain|pytɛ̃|шлюха
|la imagination|imaʒinasjɔ̃|воображение
|accusé|akyze|обвиняемый
|repérer|ʁ(ə)peʁe|обнаруживать
|la directive|diʁɛktiv|директива
