# 139 - Mots fréquents

|gris|gʁi, gʁiz|серый
|la aise|ɛz|удовольствие
|la agression|agʁesjɔ̃|агрессия
|le loisir|lwaziʁ|досуг время
|la chaleur|ʃalœʁ|теплота
|ranger|ʁɑ̃ʒe|ранжировать
|le partage|paʁtaʒ|раздел
|la étoile|etwal|звезда
|le mystère|mistɛʁ|мистерия
|quasi|kazi|квази
|la description|dɛskʁipsjɔ̃|описание
|serbe|sɛʁb|сербский
|biologique|bjɔlɔʒik|биологический
|universitaire|ynivɛʁsitɛʁ|университетский
|emparer|ɑ̃paʁe|овладевать
|la dent|dɑ̃|зуб
|neutre|nøtʁ|нейтральный
|aîné|ene|старший
|trahir|tʁaiʁ|предавать
|la intelligence|ɛ̃teliʒɑ̃s|разум
