# 140 - Mots fréquents

|admirer|admiʁe|восхищаться
|la licence|lisɑ̃s|лицензия
|la rigueur|ʁigœʁ|строгость
|maternel|matɛʁnɛl|материнский
|le métal|metal, -o|металл
|le palais|palɛ|дворец
|belge|bɛlʒ|бельгийский
|brutal|bʁytal, -o|грубый
|extraire|ɛkstʁɛʁ|добывать
|la signification|siɲifikasjɔ̃|значение
|filer|file|прясть
|automatique|ɔtɔmatik|автоматический
|accrocher|akʁɔʃe|прицеплять
|le pain|pɛ̃|хлеб
|le plateau|plato|поднос
|la répétition|ʁepetisjɔ̃|повторение
|la diminution|diminysjɔ̃|уменьшение
|la collection|kɔlɛksjɔ̃|коллекция
|le gène|ʒɛn|ген
|la permanence|pɛʁmanɑ̃s|неизменяемость
