# 143 - Mots fréquents

|vider|vide|опорожнять
|attentif|atɑ̃tif, -v|внимательный
|démarrer|demaʁe|трогаться
|coordonner|kɔɔʁdɔne|координировать
|la larme|laʁm|слеза
|sourd|suʁ, -d|глухой
|la cigarette|sigaʁɛt|сигарета
|la vallée|vale|долина
|artificiel|aʁtifisjɛl|искусственный
|différer|difeʁe|различаться
|honorer|ɔnɔʁe|чтить
|la entrevue|ɑ̃tʁəvy|свидание
|le ressort|ʁ(ə)sɔʁ|упругость
|fixe|fiks|неподвижный
|la opportunité|ɔpɔʁtynite|своевременность
|la robe|ʁɔb|платье
|la plaque|plak|пластинка
|découler|dekule|вытекать
|décisif|desizif, -v|решительный
|le piège|pjɛʒ|ловушка
