# 147 - Mots fréquents

|le boulot|bulo, -ɔt|работа
|correctement|kɔʁɛktəmɑ̃|правильно
|la colonne|kɔlɔn|колонна
|arranger|aʁɑ̃ʒe|арранжировать
|lointain|lwɛ̃tɛ̃, -ɛn|далёкий
|danser|dɑ̃se|танцевать
|le charbon|ʃaʁbɔ̃|уголь
|passionner|pasjɔne|вызывать страсть
|la colline|kɔlin|холм
|la poésie|pɔezi|поэзия
|généraliser|ʒeneʁalize|обобщать
|la transaction|tʁɑ̃zaksjɔ̃|транзакция
|la extrémité|ɛkstʁemite|конец, предел
|pénal|penal, -o|уголовный
|le économiste|ekɔnɔmist|экономист
|la banlieue|bɑ̃ljø|пригород
|bancaire|bɑ̃kɛʁ|банковский
|défaire|defɛʁ|рассоздавать
|le calendrier|kalɑ̃dʁije|календарь
|le repas|ʁ(ə)pɑ|еда
