# 148 - Mots fréquents

|le cul|ky|зад
|vouer|vwe|посвящать
|surprenant|syʁpʁənɑ̃, -t|неожиданный
|le paradis|paʁadi|рай
|transparent|tʁɑ̃spaʁɑ̃, -t|прозрачный
|élu|ely|избранный
|le tourisme|tuʁism|туризм
|la démonstration|demɔ̃stʁasjɔ̃|демонстарция
|gravement|gʁavmɑ̃|важно
|la infraction|ɛ̃fʁaksjɔ̃|нарушение
|le tir|tiʁ|стрельба
|le envoi|ɑ̃vwa|отправка
|le arrangement|aʁɑ̃ʒmɑ̃|аранжировка
|pardonner|paʁdɔne|прощать
|collaborer|kɔ(l)labɔʁe|сотрудничать
|la danse|dɑ̃s|танец
|tester|tɛste|тестировать
|proclamer|pʁɔklame|провозглашать
|le genou|ʒ(ə)nu|колено
|dominant|dɔminɑ̃, -t|доминирующий
