# 149 - Mots fréquents

|le péril|peʁil|опасность
|la préférence|pʁefeʁɑ̃s|предпочтение
|vain|vɛ̃, vɛn|напрасный
|la rentrée|ʁɑ̃tʁe|возвращение
|coller|kɔle|клеить
|le monopole|mɔnɔpɔl|монополия
|approfondir|apʁɔfɔ̃diʁ|углублять
|le incendie|ɛ̃sɑ̃di|пожар
|la proximité|pʁɔksimite|близость
|le hélicoptère|elikɔptɛʁ|геликоптер
|la bouteille|butɛj|бутыль
|le championnat|ʃɑ̃pjɔna|чемпионат
|hériter|eʁite|наследовать
|élémentaire|elemɑ̃tɛʁ|элементарный
|la entité|ɑ̃tite|бытие
|souffler|sufle|дышать
|dit|di, -t|упомянутый
|le mélange|melɑ̃ʒ|смесь
|le pourcentage|puʁsɑ̃taʒ|процент
|permis|pɛʁmi|разрешение
