# 150 - Mots fréquents

|mélanger|[melɑ̃ʒe]|мешать
|proprement|[pʁɔpʁəmɑ̃]|собственно
|enfoncer|[ɑ̃fɔ̃se]|погружать
|clandestin|[klɑ̃dɛstɛ̃, -in]|тайный
|super|[sypɛʁ]|супер
|encontre|[ɑ̃kɔ̃tʁ]|против (направление)
|syndical|[sɛ̃dikal, o]|профсоюзный
|deviner|[d(ə)vine]|догадываться
|tracer|[tʁase]|чертить
|la sagesse|[saʒɛs]|мудрость
|baiser|[beze]|целовать
|user|[yze]|употреблять
|le enfer|[ɑ̃fɛʁ]|ад
|le pilote|[pilɔt]|лоцман
|le abonné|[abɔne]|подписчик
|la objection|[ɔbʒɛksjɔ̃]|возражение
|la correction|[kɔʁɛksjɔ̃]|поправка
|la vocation|[vɔkasjɔ̃]|призвание
|la facture|[faktyʁ]|фактура, счёт
|relancer|[ʁ(ə)lɑ̃se]|бросать (вновь)
