# 152 - Mots fréquents

|la matinée|matine|утро
|régir|ʁeʒiʁ|управлять
|le poème|pɔɛm|поэма
|le bassin|basɛ̃|бассейн
|éteindre|etɛ̃dʁ|гасить
|ministériel|ministeʁjɛl|министерский
|la rage|ʁaʒ|бешенство
|le enregistrement|ɑ̃ʁ(ə)ʒistʁəmɑ̃|регистрация
|débarquer|debaʁke|выгружать
|systématiquement|sistematikmɑ̃|систематически
|énormément|enɔʁmemɑ̃|чрезмерно
|respirer|ʁɛspiʁe|дышать
|la dictature|diktatyʁ|диктатура
|le acheteur|aʃ(ə)tœʁ, -øz|покупатель
|équiper|ekipe|экипировать
|le édifice|edifis|строение
|le lot|lo|жребий
|le fondement|fɔ̃dmɑ̃|фундамент
|spirituel|spiʁitɥɛl|духовный
|le fournisseur|fuʁnisœʁ, -øz|поставщик
