# 156 - Mots fréquents

|défenseur|defɑ̃sœʁ|защитник
|la citation|sitasjɔ̃|цитата
|la reconstruction|ʁ(ə)kɔ̃stʁyksjɔ̃|реконструкция
|retomber|ʁ(ə)tɔ̃be|падать (вновь)
|pourvoir|purvwaʁ|снабжать
|systématique|sistematik|систематический
|véritablement|veʁitabləmɑ̃|действительно
|parallèlement|paʁalɛlmɑ̃|параллельно
|le légume|legym|овощ
|francophone|fʁɑ̃kɔfɔn|франкофон
|émaner|emane|выделять
|le souffle|sufl|дыхание
|le lac|lak|озеро
|le souhait|swɛ|желание
|prévaloir|pʁevalwaʁ|превалировать
|sixième|sizjɛm|шестой
|la enveloppe|ɑ̃v(ə)lɔp|конверт
|la extension|ɛkstɑ̃sjɔ̃|расширение
|effondrer|efɔ̃dʁe|пробивать
|apprêter|apʁete|приготовлять
