# 162 - Mots fréquents

|panique|panik|панический
|abriter|abʁite|укрывать
|la variété|vaʁjete|разнообразие
|le bulletin|byltɛ̃|бюллетень
|la flotte|flɔt|флот
|décourager|dekuʁaʒe|обескураживать
|la poussière|pusjɛʁ|пыль
|la fierté|fjɛʁte|гордость
|le épisode|epizɔd|эпизод
|détacher|detaʃe|отвязывать
|la interface|ɛ̃tɛʁfas|интерфейс
|le administrateur|administʁatœʁ, -ʁis|администратор
|doucement|dusmɑ̃|тихо
|quoique|kwak(ə)|хотя
|la projection|pʁɔʒɛksjɔ̃|проекция
|treize|tʁɛz|тринадцать
|la antenne|ɑ̃tɛn|антенна
|le tarif|taʁif|тариф
|le remplacement|ʁɑ̃plasmɑ̃|замещение
|la devise|dəviz|девиз, лозунг
