# 163 - Mots fréquents

|le optimisme|ɔptimism|оптимизм
|le chanteur|ʃɑ̃tœʁ, -øz|певец
|le décret|dekʁɛ|декрет
|écrit|ekʁi, -t|написанный
|la suggestion|sygʒɛstjɔ̃|внушение
|la queue|kø|хвост
|durement|dyʁmɑ̃|жёстко
|applaudir|aplodiʁ|аплодировать
|le sucre|sykʁ|сахар
|prioritaire|pʁijɔʁitɛʁ|первостепенный
|la chair|ʃɛʁ|плоть
|exécutif|ɛgzekytif, -v|исполнительный
|compétent|kɔ̃petɑ̃, -t|компетентный
|le sable|sɑbl|песок
|la corruption|kɔʁypsjɔ̃|коррупция
|le blé|ble|хлеб
|chaos|kao|хаос
|référer|ʁefeʁe|приписывать
|obéir|ɔbeiʁ|повиноваться
|le fusil|fyzi|ружьё
