# 164 - Mots fréquents

|taper|tape|ударять
|cohérent|kɔeʁɑ̃, -t|связный
|la discrétion|diskʁesjɔ̃|сдержанность
|la odeur|ɔdœʁ|запах
|la identification|idɑ̃tifikasjɔ̃|идентификация
|fêter|fete|праздновать
|substantiel|sypstɑ̃sjɛl|существенный
|asiatique|azjatik|азиатский
|la aspiration|aspiʁasjɔ̃|стремление
|la photographie|fɔtɔgʁafi|фотографирование
|la exclusion|ɛksklyzjɔ̃|исключение
|préconiser|pʁekɔnize|восхвалять
|la tribune|tʁibyn|трибуна
|bénéficiaire|benefisjɛʁ|пользующийся
|le historien|istɔʁjɛ̃, -jɛn|историк
|seize|sɛz|шестнадцать
|la tentation|tɑ̃tasjɔ̃|искушение
|la gloire|glwaʁ|слава
|vanter|vɑ̃te|хвалить
|coincer|kwɛ̃se|закреплять
