# 169 - Mots fréquents

|ramasser|ʁamɑse|собирать
|le politicien|pɔlitisjɛ̃, -jɛn|политик
|acheminer|aʃ(ə)mine|направлять
|la comédie|kɔmedi|комедия
|la propagande|pʁɔpagɑ̃d|пропаганда
|la colonie|kɔlɔni|колония
|le désordre|dezɔʁdʁ|беспорядок
|infini|ɛ̃fini|бесконечный
|le savant|savɑ̃, -t|учёный
|la terreur|teʁœʁ|ужас
|recruter|ʁ(ə)kʁyte|вербовать
|conformer|kɔ̃fɔʁme|сообразовать
|le virus|viʁys|вирус
|reconnaissant|ʁ(ə)kɔnɛsɑ̃, -t|признательный
|délibérer|delibeʁe|обсуждать
|inattendu|inatɑ̃dy|неожиданный
|le tunnel|tynɛl|туннель
|le cousin|kuzɛ̃, -in|кузен
|puiser|pɥize|черпать
|géographique|ʒeɔgʁafik|географический
