# 171 - Mots fréquents

|fréquemment|fʁekamɑ̃|часто
|symbolique|sɛ̃bɔlik|символический
|le pavillon|pavijɔ̃|павильон
|le pape|pap|Папа
|préliminaire|pʁeliminɛʁ|прелиминарный
|la sensation|sɑ̃sasjɔ̃|ощущение
|troubler|tʁuble|будоражить
|la angoisse|ɑ̃gwas|тревога
|la générosité|ʒeneʁozite|великодушие
|la chaise|ʃɛz|стул
|hautement|ˈotmɑ̃|во всеуслышание
|la légitimité|leʒitimite|законность
|le emprunt|ɑ̃pʁœ̃|заём
|la clause|kloz|условие
|la clef|kle|ключ
|la répression|ʁepʁesjɔ̃|репрессия
|la tombe|tɔ̃b|надгробие
|dériver|deʁive|происходить
|évacuer|evakɥe|эвакуировать
|le blocage|blɔkaʒ|торможение
