# 176 - Mots fréquents

|le château|ʃato|замок
|nous|nu|мы
|le forum|fɔʁɔm|форум
|via|vja|через
|coter|kɔte|котировать
|le éclat|ekla|раскат
|sincèrement|sɛ̃sɛʁmɑ̃|искренне
|le thé|te|чай
|préférable|pʁefeʁabl|предпочтительный
|le attachement|ataʃmɑ̃|привязанность
|liquide|likid|жидкий
|la gamme|gam|гамма
|la motivation|mɔtivasjɔ̃|мотивировка
|la protestation|pʁɔtɛstasjɔ̃|протест
|la demeure|d(ə)mœʁ|местопребывание
|adéquat|adekwa(t), -t|адекватный
|geler|ʒ(ə)le|замораживать
|défiler|defile|дефилировать
|le peintre|pɛ̃tʁ|художник
|volontairement|vɔlɔ̃tɛʁmɑ̃|добровольно
