# 178 - Mots fréquents

|le colonel|kɔlɔnɛl|полковник
|le nœud|nø|узел
|peindre|pɛ̃dʁ|красить
|le bâton|bɑtɔ̃|палка
|le démocrate|demɔkʁat|демократ
|précédemment|pʁesedamɑ̃|прежде
|le idiot|idjo, idjɔt|идиот
|la querelle|kəʁɛl|ссора
|explosif|ɛksplozif, -v|взрыв
|le flic|flik|сыщик
|solitaire|sɔlitɛʁ|одинокий
|déceler|des(ə)le|обнаруживать
|la herbe|ɛʁb|трава
|élevé|el(ə)ve|возвышенный
|acharner|aʃaʁne|озлоблять
|le bombardement|bɔ̃baʁdəmɑ̃|бомбардировка
|le bagage|bagaʒ|багаж
|singulier|sɛ̃gylje, -jɛʁ|единственный
|le capitalisme|kapitalism|капитализм
|la suspension|syspɑ̃sjɔ̃|подвешивание
