# 180 - Mots fréquents

|la flamme|flɑm|пламя, огонь
|approprié|apʁɔpʁije|соответствующий
|la nouveauté|nuvote|новизна
|brusquement|bʁyskəmɑ̃|внезапно
|coïncider|kɔɛ̃side|совпадать
|déterminé|detɛʁmine|определённый
|ménager|menaʒe|беречь
|millénaire|milenɛʁ|тысячный
|la alerte|alɛʁt|тревога
|le renforcement|ʁɑ̃fɔʁsəmɑ̃|усиление
|le ange|ɑ̃ʒ|ангел
|guérir|geʁiʁ|исцелять
|immobilier|imɔbilje, -jɛʁ|недвижимый
|le certificat|sɛʁtifika|свидетельство
|contaminer|kɔ̃tamine|заражать
|la pénurie|penyʁi|нехватка
|le tirage|tiʁaʒ|тяга
|la perception|pɛʁsɛpsjɔ̃|восприятие
|le philosophe|filɔzɔf|философ
|la planche|plɑ̃ʃ|доска
