# 181 - Mots fréquents

|la crédibilité|kʁedibilite|убедительность
|la fiction|fiksjɔ̃|фикция
|handicapé|ˈɑ̃dikape|имеющий недостаток
|la boisson|bwasɔ̃|питьё
|la élaboration|elabɔʁasjɔ̃|обработка
|la habitation|abitasjɔ̃|жилище
|représentatif|ʁ(ə)pʁezɑ̃tatif, -v|представительный
|débrouiller|debʁuje|распутывать
|la imposition|ɛ̃pozisjɔ̃|налогообложение
|générer|ʒeneʁe|генерировать
|le ajustement|aʒystəmɑ̃|регулировка
|la princesse|pʁɛ̃sɛs|принцесса
|virer|viʁe|вертеться
|la facilité|fasilite|лёгкость
|postal|pɔstal, -o|почтовый
|perturber|pɛʁtyʁbe|нарушать
|la répercussion|ʁepɛʁkysjɔ̃|отражение
|le oncle|ɔ̃kl|дядя
|le viol|vjɔl|изнасилование
|le culte|kylt|культ
