# 182 - Mots fréquents

|le gosse|gɔs|мальчишка
|le équipage|ekipaʒ|выезд
|carburant|kaʁbyʁɑ̃, -t|горючий
|le canon|kanɔ̃|орудие
|prometteur|pʁɔmetœʁ, -øz|многообещающий
|le apprentissage|apʁɑ̃tisaʒ|ученичество
|soi-disant|swadizɑ̃|так называемый
|la chaussure|ʃosyʁ|обувь
|salarial|salaʁjal, -jo|зарплатный
|abolir|abɔliʁ|упразднять
|la pâte|pɑt|тесто
|la cohésion|kɔezjɔ̃|сцепление
|la ruine|ʁɥin|руина
|percer|pɛʁse|сверлить
|le rassemblement|ʁasɑ̃bləmɑ̃|собирание
|le malentendu|malɑ̃tɑ̃dy|недоразумение
|soigneusement|swaɲøzmɑ̃|тщательно
|le pot|po|горшок, кувшин
|le règne|ʁɛɲ|правление
|la impulsion|ɛ̃pylsjɔ̃|импульс
