# 185 - Mots fréquents

|la venue|v(ə)ny|появление
|le ballon|balɔ̃|мяч
|abstenir|apstəniʁ|воздерживаться
|le affrontement|afʁɔ̃tmɑ̃|столкновение
|expulser|ɛkspylse|изгонять
|resserrer|ʁ(ə)seʁe|зажимать
|activement|aktivmɑ̃|активно
|le décor|dekɔʁ|украшение
|la compassion|kɔ̃pɑsjɔ̃|сочувствие
|la couronne|kuʁɔn|корона
|la descente|desɑ̃t|схождение
|le plancher|plɑ̃ʃe|пол
|la trentaine|tʁɑ̃tɛn|около тридцати
|la détresse|detʁɛs|беда
|le escalier|ɛskalje|лестница
|le barrage|baʁaʒ|застава
|le néant|neɑ̃|небытие
|le support|sypɔʁ|подпорка,
|le effondrement|efɔ̃dʁəmɑ̃|обвал
|encaisser|ɑ̃kese|укладывать
