# 186 - Mots fréquents

|déduire|dedɥiʁ|вычитать
|baptiser|batize|крестить
|incompatible|ɛ̃kɔ̃patibl|несовместимый
|bienvenu|bjɛ̃v(ə)ny|желанный
|la espérance|ɛspeʁɑ̃s|надежда
|la synthèse|sɛ̃tɛz|синтез
|la conjoncture|kɔ̃ʒɔ̃ktyʁ|конъюнктура
|défier|defje|вызывать
|la baie|bɛ|залив
|la récompense|ʁekɔ̃pɑ̃s|вознаграждение
|la étendue|etɑ̃dy|протяжение
|tiens|tjɛ̃|возьми!
|le carnet|kaʁnɛ|записная книжка
|le banc|bɑ̃|скамья
|réformer|ʁefɔʁme|реформировать
|la assise|asiz|слой
|énergétique|enɛʁʒetik|энергетический
|reléguer|ʁ(ə)lege|ссылать
|le architecte|aʁʃitɛkt|архитектор
|deuxièmement|døzjɛmmɑ̃|во-вторых
