# 188 - Mots fréquents

|décliner|dekline|отклонять
|le rideau|ʁido|занавес
|fermé|fɛʁme|закрытый
|la manipulation|manipylasjɔ̃|манипуляция
|piquer|pike|колоть
|la assiette|asjɛt|тарелка
|gigantesque|ʒigɑ̃tɛsk|гигантский
|rival|ʁival, -o|соперничающий
|refermer|ʁ(ə)fɛʁme|закрывать (вновь)
|le écu|eky|экю
|confus|kɔ̃fy, -z|сконфуженный
|la expédition|ɛkspedisjɔ̃|экспедиция
|reconstituer|ʁ(ə)kɔ̃stitɥe|восстанавливать
|protégé|pʁɔteʒe|протеже
|le chant|ʃɑ̃|пение
|la diplomatie|diplɔmasi|дипломатия
|le lieutenant|ljøt(ə)nɑ̃|лейтенант
|réputé|ʁepyte|считающийся
|indirect|ɛ̃diʁɛkt|непрямой
|apte|apt|способный
