# 189 - Mots fréquents

|dépêcher|depeʃe|торопить
|démentir|demɑ̃tiʁ|изобличать
|le sud|syd|юг
|la envergure|ɑ̃vɛʁgyʁ|ширина
|la touche|tuʃ|прикосновение
|déterminant|detɛʁminɑ̃, -t|определяющий
|sous|su|под
|le acheminement|aʃ(ə)minmɑ̃|продвижение
|externe|ɛkstɛʁn|внешний
|le hôte|ot, otɛs|хозяин
|le assassin|asasɛ̃, -in|убийца
|la confirmation|kɔ̃fiʁmasjɔ̃|подтверждение
|le tapis|tapi|ковёр
|la corde|kɔʁd|верёвка
|notable|nɔtabl|заметный
|rationnel|ʁasjɔnɛl|рациональный
|divin|divɛ̃, -in|божественный
|endormir|ɑ̃dɔʁmiʁ|усыплять
|épais|epɛ, -ɛs|толстый
|exposé|ɛkspoze|изложение
