# 190 - Mots fréquents

|la boutique|butik|бутик
|récolter|ʁekɔlte|жать
|tchèque|tʃɛk|чешский
|la autoroute|otoʁut|автострада
|la maternité|matɛʁnite|материнство
|le différend|difeʁɑ̃|разногласие
|explicite|ɛksplisit|явный
|le comté|kɔ̃te|графство
|par|paʁ|посредством
|le quota|k(w)ɔta|квота
|tailler|tɑje|кроить
|apparent|apaʁɑ̃, -t|очевидный
|enfuir|ɑ̃fɥiʁ|убегать
|le assistant|asistɑ̃, -t|ассистент
|la portion|pɔʁsjɔ̃|порция
|la allocation|alɔkasjɔ̃|ассигнование
|la spéculation|spekylasjɔ̃|спекуляция
|décéder|desede|умереть
|serré|seʁe|тесный
|enquêter|ɑ̃kete|расследовать
