# 192 - Mots fréquents

|brandir|bʁɑ̃diʁ|размахивать
|repenser|ʁ(ə)pɑ̃se|думать (вновь)
|timide|timid|робкий
|la audition|odisjɔ̃|слух
|la comptabilité|kɔ̃tabilite|учёт
|précaire|pʁekɛʁ|ненадёжный
|le trône|tʁon|трон
|insulter|ɛ̃sylte|оскорблять
|le saut|so|скачок
|la amende|amɑ̃d|штраф
|différemment|difeʁamɑ̃|различно
|la programmation|pʁɔgʁamasjɔ̃|программирование
|crédible|kʁedibl|правдоподобный
|la justification|ʒystifikasjɔ̃|оправдание
|la conservation|kɔ̃sɛʁvasjɔ̃|консервировние
|le transit|tʁɑ̃zit|транзит
|le organisateur|ɔʁganizatœʁ, -ʁis|организатор
|la galerie|galʁi|галерея
|le aménagement|amenaʒmɑ̃|устройство
|le manifestant|manifɛstɑ̃, -t|манифестант
