# 196 - Mots fréquents

|le jury|ʒyʁi|жюри
|le bœuf|bœf|бык
|rallier|ʁalje|воссоединять
|la roue|ʁu|колесо
|barrer|baʁe|преграждать
|réaffirmer|ʁeafiʁme|подтверждать (вновь)
|assigner|asiɲe|назначать
|souhaitable|swɛtabl|желательный
|le soupçon|supsɔ̃|подозрение
|le constat|kɔ̃sta|протокол
|le communisme|kɔmynism|коммунизм
|le dynamisme|dinamism|динамизм
|flagrant|flagʁɑ̃, -t|явный
|la paire|pɛʁ|пара
|le loup|lu|волк
|concerter|kɔ̃sɛʁte|согласовывать
|désespérer|dezɛspeʁe|отчаиваться
|subit|sybi, -t|внезапный
|le diplomate|diplɔmat|дипломат
|la joue|ʒu|щека
