# 198 - Mots fréquents

|la cabine|kabin|кабина
|le fardeau|faʁdo|груз
|le héritier|eʁitje, -jɛʁ|наследный
|le apport|apɔʁ|вклад
|le remboursement|ʁɑ̃buʁsəmɑ̃|выплата
|le échelon|eʃ(ə)lɔ̃|ступенька
|fondre|fɔ̃dʁ|плавить
|la occurrence|ɔkyʁɑ̃s|случай
|authentique|otɑ̃tik|аутентичный
|attentivement|atɑ̃tivmɑ̃|внимательно
|irlandais|iʁlɑ̃dɛ, -z|ирландский
|confortable|kɔ̃fɔʁtabl|комфортабельный
|au-dessous|od(ə)su|внизу
|fonctionnel|fɔ̃ksjɔnɛl|функциональный
|la panne|pan|неисправность
|adieu|adjø|прощание
|entre|ɑ̃tʁ|между
|insérer|ɛ̃seʁe|вставлять
|le confrère|kɔ̃fʁɛʁ|собрат
|litre|litʁ|литр
