# 199 - Mots fréquents

|suivi|sɥivi|последовательный
|la variation|vaʁjasjɔ̃|вариация
|productif|pʁɔdyktif, -v|продуктивный
|le groupement|gʁupmɑ̃|группирование
|la modernisation|mɔdɛʁnizasjɔ̃|модернизация
|le déploiement|deplwamɑ̃|развёртывание
|impuissant|ɛ̃pɥisɑ̃, -t|бессильный
|la restauration|ʁɛstɔʁasjɔ̃|реставрация
|haïr|ˈaiʁ|ненавидеть
|la marée|maʁe|морской
|souscrire|suskʁiʁ|подписывать
|le diable|djɑbl|дьявол
|le suffrage|syfʁaʒ|избирательное право
|spontané|spɔ̃tane|спонтанный
|joyeux|ʒwajø, -øz|радостный
|concilier|kɔ̃silje|примирять
|la tristesse|tʁistɛs|печаль
|le asile|azil|убежище
|sombrer|sɔ̃bʁe|тонуть
|la photographie|fɔtɔgʁaf|фотографирование
