# 201 - Mots fréquents

|composant|kɔ̃pozɑ̃, -t|образующий
|économiquement|ekɔnɔmikmɑ̃|экономично
|hurler|ˈyʁle|выть
|le yen|ˈjɛn|иена
|gras|gʁɑ, gʁɑs|жирный
|médiatique|medjatik|медийный
|la statue|staty|статуя
|la frappe|fʁap|чеканка
|industrialiser|ɛ̃dystʁijalize|индустриализировать
|efficacement|efikasmɑ̃| эффективно
|le golfe|gɔlf|залив
|la ambiance|ɑ̃bjɑ̃s|среда
|coopérer|kɔɔpeʁe|кооперировать
|le bus|bys|автобус
|septième|sɛtjɛm|седьмой
|la façade|fasad|фасад
|charmant|ʃaʁmɑ̃, -t|очаровательный
|marginal|maʁʒinal, -o|побочный
|comptable|kɔ̃tabl|бухгалтерский
|le isolement|izɔlmɑ̃|изоляция
