# 203 - Mots fréquents

|grossier|gʁosje, -jɛʁ|грубый
|la ignorance|iɲɔʁɑ̃s|неведение
|pervers|pɛʁvɛʁ, -s|извращённый
|sensiblement|sɑ̃sibləmɑ̃|чувствительно
|léguer|lege|завещать
|prélever|pʁel(ə)ve|взимать
|noyer|nwaje|утопить
|le abbé|abe|аббат
|détecter|detɛkte|обнаруживать
|capter|kapte|перехватить
|sceptique|sɛptik|скептический
|vôtre|votʁ|ваш
|problématique|pʁɔblematik|проблематичный
|voiler|vwale|окутывать
|la nationalité|nasjɔnalite|национальность
|le serment|sɛʁmɑ̃|присяга
|s'envoler|ɑ̃vɔle|улететь
|le pasteur|pastœʁ|пастух
|activer|aktive|активировать
|la chimie|ʃimi|химия
