# 204 - Mots fréquents

|erroné|eʁɔne|ошибочный
|le fantôme|fɑ̃tom|фантом
|naviguer|navige|навигировать
|yougoslave|jugɔslav|югославский
|explicitement|ɛksplisitmɑ̃|ясно
|alerter|alɛʁte|встревожить
|la vigilance|viʒilɑ̃s|бдительность
|le rock|ʁɔk|рок-н-ролл
|la réconciliation|ʁekɔ̃siljasjɔ̃|примирение
|revers|ʁ(ə)vɛʁ|оборот
|la aviation|avjasjɔ̃|авиация
|la souplesse|suplɛs|гибкость
|respectueux|ʁɛspɛktɥø, -øz|почтительный
|la trahison|tʁaizɔ̃|измена
|le débit|debi|сбыт
|le sursis|syʁsi|отсрочка
|simultanément|simyltanemɑ̃|одновременно
|techniquement|tɛknikmɑ̃|технически
|le os|oɛs|кость
|la cote|kɔt|доля, пай
