# 205 - Mots fréquents

|le dictionnaire|diksjɔnɛʁ|словарь
|le symptôme|sɛ̃ptom|симптом
|délibérément|delibeʁemɑ̃|сознательно
|la écoute|ekut|слушание
|contingent|kɔ̃tɛ̃ʒɑ̃, -t|случайный
|émerger|emɛʁʒe|показываться
|instruire|ɛ̃stʁɥiʁ|инструктировать
|la équité|ekite|справедливость
|inconscient|ɛ̃kɔ̃sjɑ̃, -t|бессознательный
|chaleureux|ʃalœʁø, -øz|горячий
|déguiser|degize|переодевать
|la fièvre|fjɛvʁ|лихорадка
|la vitre|vitʁ|оконное стекло
|fantastique|fɑ̃tastik|фантастический
|courbe|kuʁb|кривой
|soustraire|sustʁɛʁ|вычитать
|instable|ɛ̃stabl|неустойчивый
|la vapeur|vapœʁ|пар
|le beurre|bœʁ|сливочное масло
|le monument|mɔnymɑ̃|памятник
