# 206 - Mots fréquents

|oral|ɔʁal, -o|устный
|téléviser|televize|передавать по телевидению
|consolider|kɔ̃sɔlide|консолидировать
|muet|mɥɛ, -t|немой
|le contrevenant|kɔ̃tʁəv(ə)nɑ̃, -t|нарушитель
|la offensive|ɔfɑ̃siv|наступление
|la routine|ʁutin|рутина
|coder|kɔde|кодировать
|le gel|ʒɛl|мороз
|la rénovation|ʁenɔvasjɔ̃|возобновление
|la controverse|kɔ̃tʁɔvɛʁs|пререкание
|médiocre|medjɔkʁ|посредственный
|filial|filjal, -jo|сыновний
|le relais|ʁ(ə)lɛ|реле, этап
|opposant|ɔpozɑ̃, -t|противопоставляющий
|le aval|aval|поручительство
|la rubrique|ʁybʁik|рубрика
|le préfet|pʁefɛ|префект
|la provocation|pʁɔvɔkasjɔ̃|провоцирование
|le sommaire|sɔmɛʁ|содержание
