# 208 - Mots fréquents

|la teneur|tənœʁ|содержание
|inverser|ɛ̃vɛʁse|менять направление
|naval|naval|морской
|la dérive|deʁiv|отклонение
|mécontent|mekɔ̃tɑ̃, -t|недовольный
|le vocabulaire|vɔkabylɛʁ|запас слов
|stabiliser|stabilize|стабилизировать
|délégué|delege|уполномоченный
|centrer|sɑ̃tʁe|сосредоточивать
|algérien|alʒeʁjɛ̃, -jɛn|алжирский
|sympathique|sɛ̃patik|симпатичный
|alentour|alɑ̃tuʁ|вокруг
|corrompre|kɔʁɔ̃pʁ|портить
|commerçant|kɔmɛʁsɑ̃, -t|коммерческий
|la poitrine|pwatʁin|грудь
|couronner|kuʁɔne|короновать
|relire|ʁəliʁ|перечитывать
|perpétuer|pɛʁpetɥe|увековечивать
|la doctrine|dɔktʁin|доктрина
|compétitif|kɔ̃petitif, -v|конкурентоспособный
