# 210 - Mots fréquents

|la gorge|gɔʁʒ|горло
|nationaliste|nasjɔnalist|националистический
|le exportateur|ɛkspɔʁtatœʁ, -ʁis|экспортёр
|la montre|mɔ̃tʁ|часы
|ratifier|ʁatifje|ратифицировать
|le exploit|ɛksplwa|подвиг
|encourageant|ɑ̃kuʁaʒɑ̃, -t|бодрящий
|climatique|klimatik|климатический
|aviser|avize|уведомлять
|la épidémie|epidemi|эпидемия
|la alarme|alaʁm|тревога
|parier|paʁje|держать пари
|écologique|ekɔlɔʒik|экологический
|la lunette|lynɛt|телескоп
|le entourage|ɑ̃tuʁaʒ|окружение
|la sphère|sfɛʁ|сфера
|confidentiel|kɔ̃fidɑ̃sjɛl|конфиденциальный
|sanctionner|sɑ̃ksjɔne|санкционировать
|le recrutement|ʁ(ə)kʁytmɑ̃|вербовка
|détendre|detɑ̃dʁ|ослаблять
