# 211 - Mots fréquents

|aisé|eze|лёгкий
|la toilette|twalɛt|туалет
|le autobus|otobys|автобус
|défavoriser|defavɔʁize|лишать благосклонности
|résistant|ʁezistɑ̃, -t|сопротивляющийся
|la admiration|admiʁasjɔ̃|восхищение
|acide|asid|кислый
|banal|banal|банальный
|le poulet|pulɛ|цыплёнок
|pêcher|peʃe|ловить
|la brigade|bʁigad|бригада
|trembler|tʁɑ̃ble|дрожать
|le reçu|ʁ(ə)sy|принятый
|civiliser|sivilize|цивилизовать
|la relance|ʁəlɑ̃s|перезапуск
|la dose|doz|доза
|le loyer|lwaje|квартплата
|la distorsion|distɔʁsjɔ̃|искривление
|octroyer|ɔktʁwaje|жаловать
|le arrivant|aʁivɑ̃, -t|прибывающий
