# 213 - Mots fréquents

|le successeur|syksesœʁ|наследник
|la méfiance|mefjɑ̃s|недоверие
|replier|ʁ(ə)plije|перекладывать
|le vérificateur|veʁifikatœʁ, -ʁis|контролёр
|le dictateur|diktatœʁ, -ʁis|диктатор
|la prétention|pʁetɑ̃sjɔ̃|претензия
|le rédacteur|ʁedaktœʁ, -ʁis|редактор
|avaler|avale|глотать
|la extraction|ɛkstʁaksjɔ̃|добывание
|le banquier|bɑ̃kje, -jɛʁ|банкир
|titulaire|titylɛʁ|титульный
|la stabilisation|stabilizasjɔ̃|стабилизация
|mutuellement|mytɥɛlmɑ̃|взаимно
|la légion|leʒjɔ̃|легион
|la lacune|lakyn|пробел
|le engin|ɑ̃ʒɛ̃|двигатель
|mépriser|mepʁize|презирать
|minoritaire|minɔʁitɛʁ|миноритарный
|idéologique|ideɔlɔʒik|идеологический
|la cloche|klɔʃ|колокол
