# 218 - Mots fréquents

|alourdir|aluʁdiʁ|утяжелять
|la avancée|avɑ̃se|передовая линия
|sévir|seviʁ|наказывать
|le jumeau|ʒymo, -ɛl|близнец
|piéger|pjeʒe|поймать в ловушку
|confiant|kɔ̃fjɑ̃, -t|доверчивый
|pendre|pɑ̃dʁ|вешать
|intact|ɛ̃takt|нетронутый
|la rapidité|ʁapidite|быстрота
|la localité|lɔkalite|местность
|la récupération|ʁekypeʁasjɔ̃|возмещение
|vigoureux|viguʁø, -øz|сильный
|la rentabilité|ʁɑ̃tabilite|рентабельность
|delà|dəla|там
|incliner|ɛ̃kline|наклонять
|affreux|afʁø, -øz|ужасный
|révolter|ʁevɔlte|восставать
|le conte|kɔ̃t|сказка
|la évasion|evazjɔ̃|побег
|le repère|ʁ(ə)pɛʁ|метка
