# 221 - Mots fréquents

|repasser|ʁ(ə)pɑse|проходить (вновь)
|alternatif|altɛʁnatif, -v|альтернативный
|le palier|palje|площадка
|prochainement|pʁɔʃɛnmɑ̃|скоро время
|réglementaire|ʁɛgləmɑ̃tɛʁ|регламентирующий
|le costume|kɔstym|костюм
|la thérapie|teʁapi|терапия
|le reproche|ʁ(ə)pʁɔʃ|упрёк
|le curé|kyʁe|кюре
|le contrôleur|kɔ̃tʁolœʁ, -øz|контролёр
|le soulagement|sulaʒmɑ̃|облегчение
|dissoudre|disudʁ|растворять
|la avalanche|avalɑ̃ʃ|лавина
|le mark|maʁk|марка
|la brèche|bʁɛʃ|брешь
|la incitation|ɛ̃sitasjɔ̃|возбуждение
|le entraîneur|ɑ̃tʁɛnœʁ, -øz|тренер
|le éditorial|editɔʁjal, -jo|передовая статья
|conjugal|kɔ̃ʒygal, -o|брачный
|pâle|pɑl|бледный
