# 228 - Mots fréquents

|le auditeur|oditœʁ, -ʁis|слушатель
|indigène|ɛ̃diʒɛn|местный
|le chocolat|ʃɔkɔla|шоколад
|indirectement|ɛ̃diʁɛktəmɑ̃|косвенно
|la obtention|ɔptɑ̃sjɔ̃|достижение
|grandissant|gʁɑ̃disɑ̃, -t|увеличивающийся
|chagrin|ʃagʁɛ̃, -in|печальный
|la prostituée|pʁɔstitɥe|проститутка
|lumineux|lyminø, -øz|светящийся
|la soupe|sup|суп
|bravo|bʁavo|браво!
|appréhender|apʁeɑ̃de|опасаться
|le concitoyen|kɔ̃sitwajɛ̃, -jɛn|согражданин
|la flèche|flɛʃ|стрела
|la libéralisation|libeʁalizasjɔ̃|либерализация
|le complot|kɔ̃plo|заговор
|signataire|siɲatɛʁ|подписавшийся
|le ski|ski|лыжа
|douanier|dwanje, -jɛʁ|таможенный
|le syndrome|sɛ̃dʁom|синдром
