# 229 - Mots fréquents

|la météo|meteo|метеослужба
|borner|bɔʁne|ограничивать
|triompher|tʁijɔ̃fe|триумфировать
|concrétiser|kɔ̃kʁetize|конкретизировать
|la soumission|sumisjɔ̃|покорность
|continuellement|kɔ̃tinɥɛlmɑ̃|постоянно
|dérober|deʁɔbe|похищать
|le romancier|ʁɔmɑ̃sje, -jɛʁ|романист
|le sorcier|sɔʁsje, -jɛʁ|чародей
|la consigne|kɔ̃siɲ|инструкция
|la harmonie|aʁmɔni|гармония
|blond|blɔ̃, -d|белокурый
|pleuvoir|pløvwaʁ|идти дождём
|déplaire|deplɛʁ|не нравиться
|innombrable|i(n)nɔ̃bʁabl|неисчислимый
|la félicitation|felisitasjɔ̃|поздравление
|inédit|inedi, -t|неизданный
|la lance|lɑ̃s|копьё
|désireux|deziʁø, -øz|желающий
|diversifier|divɛʁsifje|разнообразить
