# 235 - Mots fréquents

|kurde|kyʁd|курдский
|amusant|amyzɑ̃, - t|забавный
|le tremblement|tʁɑ̃bləmɑ̃|дрожь
|le rail|ʁɑj|рельс
|fondamentalement|fɔ̃damɑ̃talmɑ̃|фундаментально
|la lampe|lɑ̃p|лампа
|triple|tʁipl|тройной
|inchangé|ɛ̃ʃɑ̃ʒe|неизменившийся
|supplier|syplije|умолять
|la multiplication|myltiplikasjɔ̃|умножение
|camoufler|kamufle|камуфлировать
|le cliché|kliʃe|клише
|le diamant|djamɑ̃|алмаз
|guerrier|gɛʁje, -jɛʁ|воинственный
|figer|fiʒe|сгущать
|comique|kɔmik|комический
|la planification|planifikasjɔ̃|планирование
|le éloge|elɔʒ|хвала
|le regroupement|ʁ(ə)gʁupmɑ̃|перегруппировка
|odieux|ɔdjø, -jøz|гнусный
