# 236 - Mots fréquents

|désastreux|dezastʁø, -øz|бедственный
|nocturne|nɔktyʁn|ночной
|la configuration|kɔ̃figyʁasjɔ̃|конфигурация
|escompter|ɛskɔ̃te|дисконтировать
|intensif|ɛ̃tɑ̃sif, -v|интенсивный
|le scepticisme|sɛptisism|скептицизм
|la croisière|kʁwazjɛʁ|круиз
|plénier|plenje, -jɛʁ|пленарный
|le athlète|atlɛt|атлет
|le poil|pwal|волос
|épanouir|epanwiʁ|развёртывать
|minimiser|minimize|минимизировать
|inévitablement|inevitabləmɑ̃|неизбежно
|informé|ɛ̃fɔʁme|информированный
|le islam|islam|ислам
|échéant|eʃeɑ̃, -t|истекающий срок
|murmurer|myʁmyʁe|журчать, рокотать
|la implantation|ɛ̃plɑ̃tasjɔ̃|установка
|décerner|desɛʁne|присуждать
|replacer|ʁ(ə)plase|помещать на прежнее место
